,iter,h,x,y,z,"f(x, y, z)",diff,f`_x,f`_y,f`_z,norm
0,1.0,0.5,-5.0,-1.0,-5.0,44.5,,-6.5,-5.0,-12.5,14.949916387726054
1,2.0,0.5,-1.75,1.5,1.25,6.0,-38.5,-0.125,3.75,4.125,5.576177005798866
2,3.0,0.5,-1.6875,-0.375,-0.8125,0.26953125,-5.73046875,-1.09375,-0.1875,-1.84375,2.1519431625858525
3,4.0,0.5,-1.140625,-0.28125,0.109375,-0.70361328125,-0.97314453125,-0.0859375,0.828125,0.3671875,0.909946663100371
4,5.0,0.5,-1.09765625,-0.6953125,-0.07421875,-0.9251861572265625,-0.2215728759765625,-0.134765625,0.23046875,-0.392578125,0.47475804641598096
5,6.0,0.5,-1.0302734375,-0.810546875,0.1220703125,-1.0064506530761719,-0.08126449584960938,0.03076171875,0.3115234375,-0.08154296875,0.32348476193606707
6,7.0,0.5,-1.045654296875,-0.96630859375,0.162841796875,-1.051524579524994,-0.04507392644882202,0.0357666015625,0.196533203125,-0.1634521484375,0.2581107408589144
7,8.0,0.5,-1.06353759765625,-1.0645751953125,0.24456787109375,-1.0819296464323997,-0.030405066907405853,0.058746337890625,0.17999267578125,-0.107208251953125,0.21758240930116202
8,9.0,0.5,-1.0929107666015625,-1.154571533203125,0.2981719970703125,-1.103857671143487,-0.021928024711087346,0.05617523193359375,0.1436004638671875,-0.10468292236328125,0.1863739899776287
9,10.0,0.5,-1.1209983825683594,-1.2263717651367188,0.3505134582519531,-1.120006783399731,-0.016149112256243825,0.05425834655761719,0.12414169311523438,-0.08584403991699219,0.16038805232919834
10,11.0,0.5,-1.148127555847168,-1.288442611694336,0.3934354782104492,-1.1319786818230568,-0.01197189842332591,0.04859018325805664,0.10499286651611328,-0.07563543319702148,0.1382216577936432
11,12.0,0.5,-1.1724226474761963,-1.3409390449523926,0.43125319480895996,-1.1408727396652694,-0.008894057842212533,0.04320394992828369,0.09031414985656738,-0.0646439790725708,0.11917244221738148
12,13.0,0.5,-1.1940246224403381,-1.3860961198806763,0.46357518434524536,-1.1474848366881965,-0.006612097022927088,0.037762969732284546,0.07747906446456909,-0.055958062410354614,0.10276357361452274
13,14.0,0.5,-1.2129061073064804,-1.4248356521129608,0.49155421555042267,-1.1524015930262026,-0.004916756338006145,0.032871000468730927,0.06671856343746185,-0.04818027466535568,0.08861832906235055
14,15.0,0.5,-1.2293416075408459,-1.4581949338316917,0.5156443528831005,-1.1560579751668372,-0.003656382140634573,0.028480568900704384,0.05744941905140877,-0.04157703183591366,0.07642138529584973
15,16.0,0.5,-1.243581891991198,-1.4869196433573961,0.5364328688010573,-1.158777140789953,-0.0027191656231158046,0.024634542409330606,0.04951322544366121,-0.03584485175088048,0.06590351713372002
16,17.0,0.5,-1.2558991631958634,-1.5116762560792267,0.5543552946764976,-1.1607993379508064,-0.0020221971608533895,0.021278484142385423,0.042679038597270846,-0.030915248324163258,0.056833324748159525
17,18.0,0.5,-1.266538405267056,-1.5330157753778622,0.5698129188385792,-1.1623032159009328,-0.0015038779501264088,0.018368054152233526,0.03679714346071705,-0.02665914033423178,0.049011477671747856
18,19.0,0.5,-1.2757224323431728,-1.5514143471082207,0.5831424890056951,-1.163421628653869,-0.0011184127529362264,0.015848812159674708,0.031728141897474416,-0.022990585268416908,0.04226614302397692
19,20.0,0.5,-1.2836468384230102,-1.567278418056958,0.5946377816399036,-1.1642533766661378,-0.0008317480122688181,0.01367205239694158,0.02735936358294566,-0.019826273988655885,0.03644915544538422
20,21.0,0.5,-1.290482864621481,-1.5809580998484307,0.6045509186342315,-1.1648719361650983,-0.0006185594989605026,0.011792594695634762,0.023592818785800773,-0.017097694890708226,0.03143274659476797
21,22.0,0.5,-1.2963791619692984,-1.592754509241331,0.6130997660795856,-1.1653319503307726,-0.0004600141656743162,0.010170721070494437,0.0203452568382545,-0.014744558066809077,0.027106734135521483
22,23.0,0.5,-1.3014645225045456,-1.6029271376604584,0.6204720451129901,-1.165674056523644,-0.0003421061928714497,0.008771500051949488,0.01754490745253179,-0.012715308686750859,0.023376100309474575
23,24.0,0.5,-1.3058502725305203,-1.6116995913867243,0.6268296994563656,-1.1659284761837845,-0.0002544196601403925,0.007564577197662459,0.015130108069641324,-0.010965328739253266,0.020158904552041362
24,25.0,0.5,-1.3096325611293516,-1.619264645421545,0.6323123638259922,-1.1661176845784453,-0.00018920839466085582,0.006523620783644546,0.013047718404447295,-0.009456198334236277,0.01738448361692014
25,26.0,0.5,-1.3128943715211738,-1.6257885046237686,0.6370404629931103,-1.1662583962538224,-0.00014071167537710316,0.005625859975381342,0.011251958369341786,-0.008154764398134784,0.014991899479288306
26,27.0,0.5,-1.3157073015088645,-1.6314144838084395,0.6411178451921777,-1.1663630415874822,-0.00010464533365972528,0.004851621087224367,0.009703361383738285,-0.007032444178516339,0.01292860086944337
27,28.0,0.5,-1.3181331120524766,-1.6362661645003085,0.6446340672814359,-1.166440864879885,-7.782329240280106e-05,0.004183921588241324,0.008367902781127423,-0.006064585963674984,0.011149269021857689
28,29.0,0.5,-1.3202250728465974,-1.6404501158908722,0.6476663602632734,-1.1664987409898722,-5.7876109987198276e-05,0.0036081072850393525,0.007216244372401204,-0.005229931787624098,0.00961482228258885
29,30.0,0.5,-1.322029126489117,-1.6440582380770727,0.6502813261570854,-1.1665417826552116,-4.304166533941611e-05,0.0031115365894256453,0.006223088080012706,-0.0045101490074603845,0.008291557710613049
30,31.0,0.5,-1.32358489478383,-1.647169782117079,0.6525364006608156,-1.166573792148518,-3.200949330639524e-05,0.0026833055465778077,0.0053666185437366565,-0.003889428187362709,0.007150410818612099
31,32.0,0.5,-1.3249265475571188,-1.6498530913889473,0.654481114754497,-1.16659759716753,-2.380501901200205e-05,0.0023140098201297477,0.004628023365549683,-0.0033541356585127247,0.006166317193871664
32,33.0,0.5,-1.3260835524671837,-1.6521671030717222,0.6561581825837534,-1.1666153006320852,-1.770346455520766e-05,0.001995538824693055,0.003991079512031148,-0.002892514137807334,0.005317661977751823
33,34.0,0.5,-1.3270813218795303,-1.6541626428277378,0.657604439652657,-1.1666284664546829,-1.3165822597693833e-05,0.0017208979467981944,0.0034417968249191855,-0.002494424462188949,0.004585805111960674
34,35.0,0.5,-1.3279417708529295,-1.6558835412401973,0.6588516518837515,-1.1666382576954955,-9.79124081257332e-06,0.0014840550889462234,0.002968110643554178,-0.002151122899159086,0.0039546719240277535
35,36.0,0.5,-1.3286837983974027,-1.6573675965619743,0.659927213333331,-1.1666455393063435,-7.281610848064446e-06,0.0012798082692628832,0.002559616771356743,-0.0018550690940135617,0.0034104000595016224
36,37.0,0.5,-1.3293237025320341,-1.6586474049476527,0.6608547478803378,-1.1666509545399748,-5.4152336312895955e-06,0.001103671408134721,0.002207342932685097,-0.0015997604529940368,0.0029410350060093825
37,38.0,0.5,-1.3298755382361014,-1.6597510764139953,0.6616546281068348,-1.1666549817745928,-4.0272346180092455e-06,0.0009517758173160917,0.0019035516928395113,-0.0013795893183763397,0.0025362675215990084
38,39.0,0.5,-1.3303514261447593,-1.660702852260415,0.662344422766023,-1.1666579767734742,-2.9949988813449124e-06,0.0008207852382522418,0.001641570505607981,-0.0011897198007486676,0.002187207200177496
39,40.0,0.5,-1.3307618187638854,-1.661523637513219,0.6629392826663973,-1.1666602041128649,-2.22733939070352e-06,0.0007078225693132323,0.0014156451531783798,-0.0010259815623669954,0.001886187200588437
40,41.0,0.5,-1.3311157300485421,-1.6622314600898083,0.6634522734475808,-1.1666618605544725,-1.6564416076558786e-06,0.000610406675248365,0.0012208133577725766,-0.0008847782189176367,0.0016265958503496748
41,42.0,0.5,-1.3314209333861662,-1.6628418667686946,0.6638946625570397,-1.166663092427266,-1.2318727935500817e-06,0.0005263978923536472,0.0010527957883450512,-0.0007630083476983796,0.0014027314253587002
42,43.0,0.5,-1.331684132332343,-1.6633682646628671,0.6642761667308889,-1.1666640085540856,-9.161268195168049e-07,0.0004539510331014185,0.0009079020680217154,-0.0006579973672609096,0.0012096769159136008
43,44.0,0.5,-1.3319111078488937,-1.663822215696878,0.6646051654145193,-1.1666646898649742,-6.813108885950214e-07,0.00039147485836599216,0.000782949717641257,-0.0005674387922862678,0.0010431920283813982
44,45.0,0.5,-1.3321068452780767,-1.6642136905556986,0.6648888848106624,-1.1666651965464927,-5.066815185195139e-07,0.00033759712725456303,0.0006751942549638734,-0.0004893435734119045,0.0008996200504136653
