,iter,h,x,y,z,"f(x, y, z)",diff,f`_x,f`_y,f`_z,norm
0,1.0,0.5,-5.0,5.0,3.0,44.5,,-2.5,9.0,9.5,13.322912594474229
1,2.0,0.5,-3.75,0.5,-1.75,7.625,-36.875,-3.625,-0.25,-3.875,5.312132340218945
2,3.0,0.5,-1.9375,0.625,0.1875,0.91796875,-6.70703125,-0.84375,1.8125,1.03125,2.249565930351898
3,4.0,0.5,-1.515625,-0.28125,-0.328125,-0.48828125,-1.40625,-0.6796875,0.390625,-0.6953125,1.0478656693190689
4,5.0,0.5,-1.17578125,-0.4765625,0.01953125,-0.8484344482421875,-0.3601531982421875,-0.166015625,0.54296875,-0.025390625,0.5683493072561924
5,6.0,0.5,-1.0927734375,-0.748046875,0.0322265625,-0.9724063873291016,-0.12397193908691406,-0.07666015625,0.2841796875,-0.22998046875,0.3735316457147129
6,7.0,0.5,-1.054443359375,-0.89013671875,0.147216796875,-1.0322523713111877,-0.05984598398208618,0.0191650390625,0.257080078125,-0.1229248046875,0.28560107299953075
7,8.0,0.5,-1.06402587890625,-1.0186767578125,0.20867919921875,-1.0691464096307755,-0.03689403831958771,0.040313720703125,0.19000244140625,-0.133331298828125,0.2355915088972007
8,9.0,0.5,-1.0841827392578125,-1.113677978515625,0.2753448486328125,-1.0947432180400938,-0.025596808409318328,0.05348968505859375,0.1616668701171875,-0.10507965087890625,0.20009761700227202
9,10.0,0.5,-1.1109275817871094,-1.1945114135742188,0.3278846740722656,-1.1133272067818325,-0.01858398874173872,0.05301475524902344,0.13337326049804688,-0.09420585632324219,0.171679160807563
10,11.0,0.5,-1.137434959411621,-1.2611980438232422,0.3749876022338867,-1.1270359373129395,-0.013708730531106994,0.050058841705322266,0.11378955841064453,-0.0799403190612793,0.14779853127750334
11,12.0,0.5,-1.1624643802642822,-1.3180928230285645,0.41495776176452637,-1.1372030910529247,-0.010167153739985224,0.04501450061798096,0.09686493873596191,-0.06940948963165283,0.1273844530275747
12,13.0,0.5,-1.1849716305732727,-1.3665252923965454,0.4496625065803528,-1.1447573216534401,-0.00755423060051541,0.039859622716903687,0.08313721418380737,-0.059686094522476196,0.1098317612747976
13,14.0,0.5,-1.2049014419317245,-1.408093899488449,0.4795055538415909,-1.1503735658949599,-0.005616244241519741,0.03485133498907089,0.07141165435314178,-0.05153351277112961,0.09470978231685051
