,iter,h,x,y,z,"f(x, y, z)",diff,f`_x,f`_y,f`_z,norm
0,1.0,0.5,5.0,1.0,-1.0,15.5,,5.5,1.0,2.5,6.123724356957945
1,2.0,0.5,2.25,0.5,-2.25,4.5625,-10.9375,2.125,-0.75,-1.875,2.9315098498896437
2,3.0,0.5,1.1875,0.875,-1.3125,1.6328125,-2.9296875,1.53125,0.5625,-0.15625,1.6387638252658618
3,4.0,0.5,0.421875,0.59375,-1.234375,0.576904296875,-1.055908203125,0.8046875,0.359375,-0.6640625,1.1034724134238698
4,5.0,0.5,0.01953125,0.4140625,-0.90234375,0.0489501953125,-0.5279541015625,0.568359375,0.51171875,-0.380859375,0.854366620238258
5,6.0,0.5,-0.2646484375,0.158203125,-0.7119140625,-0.2824277877807617,-0.3313779830932617,0.37939453125,0.4462890625,-0.39794921875,0.7081509149561777
6,7.0,0.5,-0.454345703125,-0.06494140625,-0.512939453125,-0.5139590501785278,-0.2315312623977661,0.2891845703125,0.422119140625,-0.3179931640625,0.6024383262868439
7,8.0,0.5,-0.59893798828125,-0.2760009765625,-0.35394287109375,-0.6824711598455906,-0.16851210966706276,0.224090576171875,0.37005615234375,-0.283355712890625,0.5171543311664883
8,9.0,0.5,-0.7109832763671875,-0.461029052734375,-0.2122650146484375,-0.8068796275183558,-0.12440846767276525,0.18288421630859375,0.3267059326171875,-0.24105072021484375,0.44529636501791664
9,10.0,0.5,-0.8024253845214844,-0.6243820190429688,-0.09173965454101562,-0.8991734876617556,-0.0922938601433998,0.1517047882080078,0.2838783264160156,-0.2090740203857422,0.38381400830904044
10,11.0,0.5,-0.8782777786254883,-0.7663211822509766,0.012797355651855469,-0.9677545287759131,-0.06858104111415741,0.12812089920043945,0.2464761734008789,-0.17986536026000977,0.33093355328182184
11,12.0,0.5,-0.942338228225708,-0.889559268951416,0.10273003578186035,-1.0187431619486347,-0.05098863317272162,0.10902678966522217,0.21317076683044434,-0.15526831150054932,0.28537145136123176
12,13.0,0.5,-0.9968516230583191,-0.9961446523666382,0.180364191532135,-1.0566591722978274,-0.037916010349192675,0.09333047270774841,0.18421953916549683,-0.1338420808315277,0.2460916868720132
13,14.0,0.5,-1.0435168594121933,-1.0882544219493866,0.24728523194789886,-1.0848559035499388,-0.028196731252111418,0.08012575656175613,0.15903080999851227,-0.11544238775968552,0.21222130026233066
14,15.0,0.5,-1.0835797376930714,-1.1677698269486427,0.3050064258277416,-1.1058252032360834,-0.020969299686144582,0.06892347522079945,0.1372365988790989,-0.09954684413969517,0.18301339756036333
15,16.0,0.5,-1.118041475303471,-1.2363881263881922,0.3547798478975892,-1.121419727231673,-0.015594523995589693,0.059348448645323515,0.11839172150939703,-0.08584916824474931,0.1578255928766957
16,17.0,0.5,-1.1477156996261328,-1.2955839871428907,0.39770443201996386,-1.1330171460069776,-0.011597418775304513,0.051136516383849084,0.10212044487707317,-0.0740329729160294,0.13610440716065203
17,18.0,0.5,-1.1732839578180574,-1.3466442095814273,0.43472091847797856,-1.1416419830643338,-0.008624837057356283,0.04407650142093189,0.08807670889655128,-0.06384435153449886,0.11737267931856166
18,19.0,0.5,-1.1953222085285233,-1.390682564029703,0.466643094245228,-1.1480561546529726,-0.006414171588638773,0.03799933859409066,0.07596053021552507,-0.05505747980350861,0.10121896050901631
19,20.0,0.5,-1.2143218778255687,-1.4286628291374655,0.4941718341469823,-1.1528262854468307,-0.0047701307938581294,0.03276403924792248,0.06550900500951684,-0.0474800997562852,0.08728844068972191
20,21.0,0.5,-1.23070389744953,-1.4614173316422239,0.5179118840251249,-1.1563737659216742,-0.003547480474843434,0.02825204456303254,0.05649455238290102,-0.04094551231673904,0.07527514496708826
21,22.0,0.5,-1.2448299197310462,-1.4896646078336744,0.5383846401834944,-1.1590119782454293,-0.0026382123237551625,0.02436240036070103,0.04872003234982003,-0.035310287332208645,0.06491521004345384
22,23.0,0.5,-1.2570111199113967,-1.5140246240085844,0.5560397838495987,-1.1609739803869952,-0.001962002141565833,0.021008772013402677,0.04201515984101434,-0.030450616265085273,0.055981087778825725
23,24.0,0.5,-1.267515505918098,-1.5350322039290916,0.5712650919821414,-1.1624330943382237,-0.0014591139512285523,0.018117040072972657,0.036232888053049805,-0.026259772923857838,0.04827654701491309
24,25.0,0.5,-1.2765740259545844,-1.5531486479556165,0.5843949784440703,-1.1635182172738114,-0.0010851229355877123,0.015623463267450788,0.031246330488453822,-0.022645704044768067,0.04163236343454798
25,26.0,0.5,-1.2843857575883098,-1.5687718131998434,0.5957178304664543,-1.1643252082456264,-0.0008069909718149137,0.01347315764491741,0.026946017266610944,-0.019529031061089608,0.03590260265833515
26,27.0,0.5,-1.2911223364107685,-1.5822448218331489,0.6054823459969991,-1.1649253563092796,-0.0006001480636532719,0.011618836587731107,0.023237524163850276,-0.016841298044534714,0.03096141490214511
27,28.0,0.5,-1.296931754704634,-1.5938635839150739,0.6139029950192665,-1.165371678152883,-0.0004463218436032701,0.010019742804999288,0.020039411104192606,-0.014523471228857776,0.02670027078170992
