,iter,h,x,y,z,l,"f(x, y, z, l)",diff,f`_x,f`_y,f`_z,f'_l,norm
0,1.0,4.0389678347315807e-29,-3.0,3.0,-3.0,0.0,10.5,,-2.0,4.0,-2.0,27.0,27.440845468024488
1,2.0,4.0389678347315807e-29,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,-3.6350710512584225e-28,0.49999999999999967,-10.0,1.1102230246251565e-16,2.0,1.1102230246251565e-16,2.999999999999999,3.6055512754639887
2,3.0,4.0389678347315807e-29,-1.0,1.0,-1.0,-4.846761401677897e-28,0.5,3.3306690738754696e-16,0.0,2.0,0.0,3.0,3.605551275463989
3,4.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-5.452606576887634e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
4,5.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-6.058451752097371e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
5,6.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-6.664296927307107e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
6,7.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-7.270142102516844e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
7,8.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-7.875987277726581e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
8,9.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-8.481832452936317e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
9,10.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-9.087677628146054e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
10,11.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-9.693522803355791e-28,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
11,12.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.0299367978565528e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
12,13.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.0905213153775264e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
13,14.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.1511058328985001e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
14,15.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.2116903504194738e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
15,16.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.2722748679404474e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
16,17.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.3328593854614211e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
17,18.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.3934439029823948e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
18,19.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.4540284205033685e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
19,20.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.5146129380243421e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
20,21.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.5751974555453158e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
21,22.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.6357819730662896e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
22,23.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.6963664905872635e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
23,24.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.7569510081082373e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
24,25.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.8175355256292112e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
25,26.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.878120043150185e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
26,27.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.938704560671159e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
27,28.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-1.9992890781921328e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
28,29.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.0598735957131066e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
29,30.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.1204581132340805e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
30,31.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.1810426307550543e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
31,32.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.241627148276028e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
32,33.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.302211665797002e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
33,34.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.362796183317976e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
34,35.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.4233807008389497e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
35,36.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.4839652183599236e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
36,37.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.5445497358808974e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
37,38.0,2.0194839173657903e-29,-1.0,1.0,-1.0,-2.6051342534018713e-27,0.5,0.0,0.0,2.0,0.0,3.0,3.605551275463989
