,iter,h,x,y,z,l,"f(x, y, z, l)",diff,f`_x,f`_y,f`_z,f'_l,norm
0,1.0,6.018531076210112e-37,3.0,-3.0,3.0,0.0,16.5,,4.0,-2.0,4.0,27.0,27.65863337187866
1,2.0,6.018531076210112e-37,0.9999999999999999,-0.9999999999999999,0.9999999999999999,-5.416677968589101e-36,2.4999999999999996,-14.0,2.0,1.1102230246251565e-16,2.0,2.999999999999999,4.12310562561766
2,3.0,6.018531076210112e-37,1.0,-1.0,1.0,-7.222237291452136e-36,2.5,4.440892098500626e-16,2.0,0.0,2.0,3.0,4.123105625617661
3,4.0,3.009265538105056e-37,1.0,-1.0,1.0,-8.125016952883652e-36,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
4,5.0,3.009265538105056e-37,1.0,-1.0,1.0,-9.027796614315168e-36,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
5,6.0,3.009265538105056e-37,1.0,-1.0,1.0,-9.930576275746684e-36,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
6,7.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.08333559371782e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
7,8.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.1736135598609717e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
8,9.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.2638915260041233e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
9,10.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.354169492147275e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
10,11.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.4444474582904266e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
11,12.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.5347254244335782e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
12,13.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.6250033905767298e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
13,14.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.7152813567198815e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
14,15.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.805559322863033e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
15,16.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.8958372890061847e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
16,17.0,3.009265538105056e-37,1.0,-1.0,1.0,-1.9861152551493363e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
17,18.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.076393221292488e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
18,19.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.1666711874356396e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
19,20.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.2569491535787912e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
20,21.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.3472271197219428e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
21,22.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.437505085865095e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
22,23.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.5277830520082466e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
23,24.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.6180610181513985e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
24,25.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.7083389842945504e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
25,26.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.7986169504377023e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
26,27.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.888894916580854e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
27,28.0,3.009265538105056e-37,1.0,-1.0,1.0,-2.979172882724006e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
28,29.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.069450848867158e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
29,30.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.15972881501031e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
30,31.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.250006781153462e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
31,32.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.3402847472966137e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
32,33.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.4305627134397656e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
33,34.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.5208406795829175e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
34,35.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.6111186457260694e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
35,36.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.701396611869221e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
36,37.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.791674578012373e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
37,38.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.881952544155525e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
38,39.0,3.009265538105056e-37,1.0,-1.0,1.0,-3.972230510298677e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
39,40.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.062508476441829e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
40,41.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.1527864425849807e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
41,42.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.2430644087281326e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
42,43.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.3333423748712845e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
43,44.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.423620341014437e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
44,45.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.513898307157589e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
45,46.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.604176273300741e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
46,47.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.694454239443893e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
47,48.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.784732205587045e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
48,49.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.875010171730197e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
49,50.0,3.009265538105056e-37,1.0,-1.0,1.0,-4.965288137873349e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
50,51.0,3.009265538105056e-37,1.0,-1.0,1.0,-5.055566104016501e-35,2.5,0.0,2.0,0.0,2.0,3.0,4.123105625617661
